film,metacritic,metacritic_user,metacritic_norm,metacritic_user_norm,metacritic_norm_round,metacritic_user_norm_round,metacritic_user_vote_count
The Age of Adaline (2015),51,7.4,2.55,3.7,2.5,3.5,100
Blackhat (2015),51,5.4,2.55,2.7,2.5,2.5,80
The Second Best Exotic Marigold Hotel (2015),51,6.1,2.55,3.05,2.5,3,41
A Little Chaos (2015),51,7,2.55,3.5,2.5,3.5,7
Woman in Gold (2015),51,7.2,2.55,3.6,2.5,3.5,72
Insidious: Chapter 3 (2015),52,6.9,2.6,3.45,2.5,3.5,115
Saint Laurent (2015),52,6.8,2.6,3.4,2.5,3.5,8
Maggie (2015),52,6.5,2.6,3.25,2.5,3.5,90
Irrational Man (2015),53,7.6,2.65,3.8,2.5,4,17
Ricki and the Flash (2015),54,7,2.7,3.5,2.5,3.5,37
The Man From U.N.C.L.E. (2015),55,7.9,2.75,3.95,3,4,144
5 Flights Up (2015),55,6.8,2.75,3.4,3,3.5,6
Home (2015),55,7.3,2.75,3.65,3,3.5,177
The DUFF (2015),56,6.4,2.8,3.2,3,3,69
Paper Towns (2015),56,6.2,2.8,3.1,3,3,51
Focus (2015),56,6.2,2.8,3.1,3,3,167
Escobar: Paradise Lost (2015),56,6.9,2.8,3.45,3,3.5,7
Minions (2015),56,5.7,2.8,2.85,3,3,204
Southpaw (2015),57,8.2,2.85,4.1,3,4,128
Kingsman: The Secret Service (2015),58,7.9,2.9,3.95,3,4,1054
The 100-Year-Old Man Who Climbed Out the Window and Disappeared (2015),58,4.6,2.9,2.3,3,2.5,5
Danny Collins (2015),58,7.1,2.9,3.55,3,3.5,33
Unbroken (2014),59,6.5,2.95,3.25,3,3.5,218
Run All Night (2015),59,7.3,2.95,3.65,3,3.5,141
Unfriended (2015),59,5.8,2.95,2.9,3,3,130
The Hobbit: The Battle of the Five Armies (2014),59,7,2.95,3.5,3,3.5,903
Jurassic World (2015),59,7,2.95,3.5,3,3.5,1281
"McFarland, USA (2015)",60,7.2,3,3.6,3,3.5,59
Tomorrowland (2015),60,6.4,3,3.2,3,3,262
Magic Mike XXL (2015),60,5.4,3,2.7,3,2.5,52
The Last Five Years (2015),60,6.9,3,3.45,3,3.5,20
Black Sea (2015),62,6.6,3.1,3.3,3,3.5,37
Big Eyes (2014),62,7.5,3.1,3.75,3,4,127
The SpongeBob Movie: Sponge Out of Water (2015),62,6.5,3.1,3.25,3,3.5,196
Pitch Perfect 2 (2015),63,5.7,3.15,2.85,3,3,192
Ant-Man (2015),64,8.1,3.2,4.05,3,4,627
Infinitely Polar Bear (2015),64,7.9,3.2,3.95,3,4,8
The Overnight (2015),65,8.6,3.25,4.3,3.5,4.5,13
Avengers: Age of Ultron (2015),66,7.1,3.3,3.55,3.5,3.5,1330
Cinderella (2015),67,7.5,3.35,3.75,3.5,4,249
Welcome to Me (2015),67,6.9,3.35,3.45,3.5,3.5,33
Maps to the Stars (2015),67,5.8,3.35,2.9,3.5,3,46
The Wrecking Crew (2015),67,7,3.35,3.5,3.5,3.5,4
Furious 7 (2015),67,6.8,3.35,3.4,3.5,3.5,764
Mr. Holmes (2015),67,7.9,3.35,3.95,3.5,4,33
The Stanford Prison Experiment (2015),68,8.5,3.4,4.25,3.5,4.5,6
"Kumiko, The Treasure Hunter (2015)",68,6.4,3.4,3.2,3.5,3,19
Into the Woods (2014),69,6.1,3.45,3.05,3.5,3,307
Far From The Madding Crowd (2015),71,7.5,3.55,3.75,3.5,4,35
When Marnie Was There (2015),71,6.4,3.55,3.2,3.5,3,29
Still Alice (2015),72,7.8,3.6,3.9,3.5,4,153
Monkey Kingdom (2015),72,7.5,3.6,3.75,3.5,4,15
American Sniper (2015),72,6.6,3.6,3.3,3.5,3.5,850
Straight Outta Compton (2015),72,7.3,3.6,3.65,3.5,3.5,90
Dope (2015),72,7.2,3.6,3.6,3.5,3.5,43
The Imitation Game (2014),73,8.2,3.65,4.1,3.5,4,566
Me and Earl and The Dying Girl (2015),74,8.4,3.7,4.2,3.5,4,41
Trainwreck (2015),75,6,3.75,3,4,3,169
I'll See You In My Dreams (2015),75,6.9,3.75,3.45,4,3.5,14
Spy (2015),75,6.3,3.75,3.15,4,3,318
What We Do in the Shadows (2015),75,8.3,3.75,4.15,4,4,69
The Wolfpack (2015),75,7,3.75,3.5,4,3.5,8
Mission: Impossible Ã¢â‚¬â€œ Rogue Nation (2015),75,8,3.75,4,4,4,362
While We're Young (2015),76,6.7,3.8,3.35,4,3.5,65
Wild Tales (2014),77,8.8,3.85,4.4,4,4.5,107
The Hunting Ground (2015),77,7.8,3.85,3.9,4,4,6
The Gift (2015),77,8.3,3.85,4.15,4,4,121
Paddington (2015),77,8.2,3.85,4.1,4,4,149
Testament of Youth (2015),77,7.9,3.85,3.95,4,4,15
Ex Machina (2015),78,7.9,3.9,3.95,4,4,672
Clouds of Sils Maria (2015),78,7.1,3.9,3.55,4,3.5,36
A Most Violent Year (2014),79,7,3.95,3.5,4,3.5,133
Love & Mercy (2015),80,8.5,4,4.25,4,4.5,54
Top Five (2014),81,6.8,4.05,3.4,4,3.5,124
Shaun the Sheep Movie (2015),81,8.8,4.05,4.4,4,4.5,62
Inherent Vice (2014),81,7.4,4.05,3.7,4,3.5,286
Red Army (2015),82,7.4,4.1,3.7,4,3.5,11
Seymour: An Introduction (2015),83,6,4.15,3,4,3,4
The Salt of the Earth (2015),83,7.8,4.15,3.9,4,4,13
It Follows (2015),83,7.5,4.15,3.75,4,4,551
'71 (2015),83,7.5,4.15,3.75,4,4,60
The End of the Tour (2015),84,7.5,4.2,3.75,4,4,19
Amy (2015),85,8.8,4.25,4.4,4.5,4.5,60
Song of the Sea (2014),86,8.2,4.3,4.1,4.5,4,62
Tangerine (2015),86,7.3,4.3,3.65,4.5,3.5,14
About Elly (2015),87,9.6,4.35,4.8,4.5,5,23
The Diary of a Teenage Girl (2015),87,6.3,4.35,3.15,4.5,3,18
Birdman (2014),88,8,4.4,4,4.5,4,1171
Selma (2014),89,7.1,4.45,3.55,4.5,3.5,316
Mad Max: Fury Road (2015),89,8.7,4.45,4.35,4.5,4.5,2375
"Two Days, One Night (2014)",89,8.8,4.45,4.4,4.5,4.5,123
Gett: The Trial of Viviane Amsalem (2015),90,7.3,4.5,3.65,4.5,3.5,19
Timbuktu (2015),91,6.9,4.55,3.45,4.5,3.5,37
Phoenix (2015),91,8,4.55,4,4.5,4,21
Leviathan (2014),92,7.2,4.6,3.6,4.5,3.5,145
Mr. Turner (2014),94,6.6,4.7,3.3,4.5,3.5,98
Inside Out (2015),94,8.9,4.7,4.45,4.5,4.5,807
