film,rt,rt_user,rt_norm,rt_user_norm,rt_norm_round,rt_user_norm_round
Big Eyes (2014),72,69,3.6,3.45,3.5,3.5
Inherent Vice (2014),73,52,3.65,2.6,3.5,2.5
Avengers: Age of Ultron (2015),74,86,3.7,4.3,3.5,4.5
Kingsman: The Secret Service (2015),75,84,3.75,4.2,4,4
Danny Collins (2015),77,75,3.85,3.75,4,4
The SpongeBob Movie: Sponge Out of Water (2015),78,55,3.9,2.75,4,3
"McFarland, USA (2015)",79,89,3.95,4.45,4,4.5
Ant-Man (2015),80,90,4,4.5,4,4.5
Infinitely Polar Bear (2015),80,76,4,3.8,4,4
Furious 7 (2015),81,84,4.05,4.2,4,4
Me and Earl and The Dying Girl (2015),81,89,4.05,4.45,4,4.5
Testament of Youth (2015),81,79,4.05,3.95,4,4
Black Sea (2015),82,60,4.1,3,4,3
The Overnight (2015),82,65,4.1,3.25,4,3.5
While We're Young (2015),83,52,4.15,2.6,4,2.5
Far From The Madding Crowd (2015),84,77,4.2,3.85,4,4
The Wolfpack (2015),84,73,4.2,3.65,4,3.5
The Stanford Prison Experiment (2015),84,87,4.2,4.35,4,4.5
Cinderella (2015),85,80,4.25,4,4.5,4
Trainwreck (2015),85,74,4.25,3.7,4.5,3.5
Top Five (2014),86,64,4.3,3.2,4.5,3
Dope (2015),87,86,4.35,4.3,4.5,4.5
Mr. Holmes (2015),87,78,4.35,3.9,4.5,4
"Kumiko, The Treasure Hunter (2015)",87,63,4.35,3.15,4.5,3
Still Alice (2015),88,85,4.4,4.25,4.5,4.5
Love & Mercy (2015),89,87,4.45,4.35,4.5,4.5
When Marnie Was There (2015),89,89,4.45,4.45,4.5,4.5
Clouds of Sils Maria (2015),89,67,4.45,3.35,4.5,3.5
The Imitation Game (2014),90,92,4.5,4.6,4.5,4.5
Straight Outta Compton (2015),90,94,4.5,4.7,4.5,4.5
A Most Violent Year (2014),90,69,4.5,3.45,4.5,3.5
Ex Machina (2015),92,86,4.6,4.3,4.5,4.5
The End of the Tour (2015),92,89,4.6,4.45,4.5,4.5
The Hunting Ground (2015),92,72,4.6,3.6,4.5,3.5
Birdman (2014),92,78,4.6,3.9,4.5,4
Mission: Impossible Ã¢â‚¬â€œ Rogue Nation (2015),92,90,4.6,4.5,4.5,4.5
The Gift (2015),93,79,4.65,3.95,4.5,4
The Wrecking Crew (2015),93,84,4.65,4.2,4.5,4
Spy (2015),93,82,4.65,4.1,4.5,4
I'll See You In My Dreams (2015),94,70,4.7,3.5,4.5,3.5
Monkey Kingdom (2015),94,77,4.7,3.85,4.5,4
The Diary of a Teenage Girl (2015),95,81,4.75,4.05,5,4
Tangerine (2015),95,86,4.75,4.3,5,4.5
Wild Tales (2014),96,92,4.8,4.6,5,4.5
Red Army (2015),96,86,4.8,4.3,5,4.5
What We Do in the Shadows (2015),96,86,4.8,4.3,5,4.5
The Salt of the Earth (2015),96,90,4.8,4.5,5,4.5
It Follows (2015),96,65,4.8,3.25,5,3.5
About Elly (2015),97,86,4.85,4.3,5,4.5
Mad Max: Fury Road (2015),97,88,4.85,4.4,5,4.5
Amy (2015),97,91,4.85,4.55,5,4.5
'71 (2015),97,82,4.85,4.1,5,4
"Two Days, One Night (2014)",97,78,4.85,3.9,5,4
Mr. Turner (2014),98,56,4.9,2.8,5,3
Paddington (2015),98,81,4.9,4.05,5,4
Inside Out (2015),98,90,4.9,4.5,5,4.5
Shaun the Sheep Movie (2015),99,82,4.95,4.1,5,4
Leviathan (2014),99,79,4.95,3.95,5,4
Selma (2014),99,86,4.95,4.3,5,4.5
Timbuktu (2015),99,78,4.95,3.9,5,4
Song of the Sea (2014),99,92,4.95,4.6,5,4.5
Phoenix (2015),99,81,4.95,4.05,5,4
Seymour: An Introduction (2015),100,87,5,4.35,5,4.5
Gett: The Trial of Viviane Amsalem (2015),100,81,5,4.05,5,4
